x_ifp_mocap,y_ifp_mocap,x_ifp_exo,y_ifp_exo,x_ifd_mocap,y_ifd_mocap,x_ifd_exo,y_ifd_exo,x_tip_mocap,y_tip_mocap,x_tip_exo,y_tip_exo
0.03382872777202875,0.03544879655680812,0.027862198180137937,0.03585829704620452,0.022848158707191646,0.05901629754890192,0.03124729771047583,0.061636991760439096,-0.0007343682114991056,0.06347324988533384,0.014194198079424718,0.0785246142388534
0.03409898728469654,0.035188905441319196,0.028198199867376823,0.035665834656782795,0.024064824979162746,0.059174642595432356,0.031778420651158316,0.06141815531219904,0.0007557644557944186,0.06489195818213493,0.014891048633457998,0.0784715029699404
0.03436689459115687,0.03492730387763008,0.028538140049398343,0.03546750271644981,0.025264915404669942,0.059282056491622256,0.03231413274892124,0.06119184681174502,0.0022846586302803056,0.06620360245933202,0.015605478654798749,0.07842033712177984
0.03463244203752052,0.03466401532595123,0.028881805836705042,0.03526325023111578,0.026445666249861232,0.05934146864274621,0.03285428388939878,0.06095798545296358,0.0038424344904727063,0.06740954858975776,0.01633689755983465,0.07836993390337912
0.034895622200534694,0.03439906323197697,0.02922897805243295,0.035053032516830056,0.027604596783054564,0.059355844842626584,0.033398698635118886,0.06071649740881852,0.0054197289503516224,0.06851180679348146,0.01708471109654369,0.0783191622806842
0.03515642788650939,0.034132471024827145,0.029579431603179385,0.03483681151008892,0.028739495675947326,0.05932816472444675,0.033947179946178505,0.06046731627320718,0.007007717793941819,0.06951294896797278,0.01784831702717825,0.07826694022191008
0.035414852130229144,0.03386426211500857,0.029932935880153777,0.034614556059151126,0.029848406529239632,0.059261401390352644,0.034499512228981496,0.0602103834622715,0.008598129252359463,0.07041602893481644,0.018627102206312834,0.07821223336921959
0.035670888193849955,0.03359445989239678,0.030289255189297835,0.034386242194088625,0.030929612751097853,0.059158503140207874,0.035055463888829824,0.059945648576720155,0.010183249917110795,0.07122450617188993,0.01942044071916651,0.07815405461580252
0.03592454747048719,0.0333230684217512,0.030648149208762472,0.03415185337339081,0.03196523418488148,0.05901983550063539,0.0356147895107305,0.05967306972588598,0.011728586947146898,0.0719224750978453,0.020227692836695933,0.07809146422551363
0.0361758061860001,0.03305012930069952,0.031009373471874525,0.03391138070506119,0.032974890770696284,0.05885234123115367,0.03617723175761251,0.0593926138137341,0.01326131737853441,0.07254084093389128,0.02104820460757826,0.07802357024365272
