x_ifp_mocap,y_ifp_mocap,x_ifp_exo,y_ifp_exo,x_ifd_mocap,y_ifd_mocap,x_ifd_exo,y_ifd_exo
0.03382872777202875,0.03544879655680812,0.0314388077915863,0.03442972483686328,0.022848158707191646,0.05901629754890192,0.03646592355050537,0.05993909776420957
0.03409898728469654,0.035188905441319196,0.03162850781830926,0.03428824386984325,0.024064824979162746,0.059174642595432356,0.03684481208793942,0.059759603664063854
0.03436689459115687,0.03492730387763008,0.03182100701777525,0.03414320971772962,0.025264915404669942,0.059282056491622256,0.037226628453859566,0.05957506487793658
0.03463244203752052,0.03466401532595123,0.03201627871420853,0.03399456152406359,0.026445666249861232,0.05934146864274621,0.03761140865213865,0.0593853968978294
0.034895622200534694,0.03439906323197697,0.03221429356753581,0.0338422384983693,0.027604596783054564,0.059355844842626584,0.0379991771061781,0.05919051501659328
0.03515642788650939,0.034132471024827145,0.032415019499008685,0.03368618000650481,0.028739495675947326,0.05932816472444675,0.038389947376573044,0.058990334544009204
0.035414852130229144,0.03386426211500857,0.03261842161860031,0.03352632566596565,0.029848406529239632,0.059261401390352644,0.038783722772090995,0.05878477101968381
0.035670888193849955,0.03359445989239678,0.03282446215451824,0.03336261544617437,0.030929612751097853,0.059158503140207874,0.03918049687244182,0.05857374042433729
0.03592454747048719,0.0333230684217512,0.03303310038519194,0.03319498977376882,0.03196523418488148,0.05901983550063539,0.03958025397804697,0.05835715939070696
0.0361758061860001,0.03305012930069952,0.03324429257410969,0.033023389642881804,0.032974890770696284,0.05885234123115367,0.03998296949942311,0.0581349454150009
0.036424648421709796,0.032775676764253615,0.03345799190789438,0.032847756730381386,0.033959830604959176,0.05865857986901041,0.040388610296720445,0.05790701706959463
0.036671066153455785,0.032499737032303355,0.033674148438022564,0.03266803351601601,0.03492120589206342,0.058440785373987614,0.04079713497829146,0.057673294217459384
0.03691505166361268,0.03222233636272836,0.03389270902660332,0.03248416340738294,0.035860061965844015,0.05820092363643518,0.041208494165810586,0.057433698228636684
0.037156598045451524,0.031943500460794035,0.03411361729664613,0.032296090869608815,0.03677735321424736,0.057940734416697975,0.041622630732366495,0.05718815219891962
0.037395695930023794,0.03166325829584192,0.034336813587256106,0.032103761559602664,0.03767395433305117,0.05766176925822483,0.04203948001903868,0.05693658117076823
0.03763233782116504,0.03138163714839797,0.034562234914203585,0.03190712246470834,0.03855067027288351,0.057365414116116134,0.042458970034722224,0.05667891235636467
0.037866518520287905,0.031098661951162676,0.03478981493632091,0.031706122045551344,0.03940824224392303,0.05705291185286433,0.04288102164333521,0.05641507536260559
0.0380982318728949,0.030814359122966282,0.03501948392818335,0.03150071038283969,0.040247354044783634,0.05672538522943872,0.04330554874201829,0.056145002417729364
0.03832746392859402,0.030528765268224074,0.03525116875953189,0.03129083932784234,0.04106862559672641,0.056383862110223365,0.04373245843348353,0.055868628599184886
0.03855421166358646,0.0302419040901755,0.03548479288189455,0.03107646265623162,0.041872638053982066,0.05602926623312308,0.044161651195286575,0.05558589206226472
0.03877846881893784,0.02995380369934119,0.03572027632285776,0.030857536224938826,0.04265994173078011,0.05566244364848348,0.04459302104845887,0.05529673426894832
0.03900023018900547,0.029664491318824048,0.03595753568843232,0.030634018131631618,0.043431037776699065,0.05528417016382202,0.0450264557276428,0.055001100216329535
0.039219484952227886,0.029374002112105366,0.03619648417394643,0.03040586887638463,0.04418638801608391,0.05489516732755463,0.045461836854608015,0.05469893866393838
0.03943623818740841,0.029082350620711375,0.03643703158388395,0.03017305152507409,0.044926456772165745,0.0544960772244896,0.045899040116791245,0.054390202359207926
0.039650472997435585,0.028789581293927002,0.036679084361067385,0.02993553187398811,0.04565162942088166,0.05408752827745378,0.046337935452282625,0.05407484826028476
0.03986218925074067,0.028495716663002792,0.036922545625562034,0.02969327861510668,0.04636230286597669,0.05367007907774973,0.04677838724248119,0.05375283775533625
0.04007138307287507,0.028200784716509254,0.03716731522365185,0.029446263501466268,0.04705883864847826,0.05324425621266912,0.0472202545134526,0.053424136877468165
0.04027805092868941,0.027904813444742868,0.037413289787205706,0.029194461511988266,0.0477415861280159,0.05281054857399401,0.04766339114684161,0.053088716514335374
0.040482190057686745,0.027607830196039098,0.037660362803718955,0.028937851015115684,0.04841087141235635,0.05236941358596218,0.04810764610102271,0.052746552611504294
0.040683792281347844,0.027309870845687673,0.03790842469727461,0.028676413930569165,0.0490669933832652,0.05192128972564686,0.04855286364300378,0.052397626368609604
0.04088286402658928,0.027010950168096876,0.03815736292062609,0.02841013588850431,0.04971025570543444,0.05146656621325622,0.04899888359143999,0.05204192442734144
0.04107939757580238,0.026711104335260305,0.03840706205855514,0.02813900638532391,0.05034093628110515,0.05100562842630145,0.04944554157095751,0.051679439050299994
0.041273391128419164,0.026410361314463893,0.03865740394260758,0.02786301893537624,0.05095929165566987,0.05053883683564435,0.04989266927783627,0.051310168289764896
0.0414648425997311,0.02610875003096712,0.03890826777725366,0.027582171217750067,0.05156556970142319,0.050066531898601344,0.050340094756952,0.05093411614544807
0.041653753242571354,0.02580629459660911,0.03915953027746122,0.02729646521736181,0.05216002580076556,0.049589024400669354,0.050787642689735915,0.050551292710325574
0.04184011583014532,0.025503033296453644,0.039411065817607685,0.027005907359520197,0.05274287236848847,0.04910663259540836,0.05123513469277069,0.05016171430368435
0.04202393356100484,0.025198988234852827,0.039662746591591705,0.02671050863714763,0.05331433793781313,0.04861963658215842,0.05168238962650852,0.04976540359056643
