x_ifp_mocap,y_ifp_mocap,x_ifp_exo,y_ifp_exo,x_ifd_mocap,y_ifd_mocap,x_ifd_exo,y_ifd_exo
0.03382872777202875,0.03544879655680812,0.024956406068623607,0.03722684701773324,0.022848158707191646,0.05901629754890192,0.033023522768759785,0.061943675862598926
0.03409898728469654,0.035188905441319196,0.025464119049257716,0.03696835898658313,0.024064824979162746,0.059174642595432356,0.03365761844554683,0.06164358072100752
0.03436689459115687,0.03492730387763008,0.02596572866001888,0.03670561283157771,0.025264915404669942,0.059282056491622256,0.03428755239217701,0.06133785287934619
0.03463244203752052,0.03466401532595123,0.026461257173756005,0.03643873190761171,0.026445666249861232,0.05934146864274621,0.03491362496194616,0.06102648249145255
0.034895622200534694,0.03439906323197697,0.026950728237451357,0.03616783702048035,0.027604596783054564,0.059355844842626584,0.03553611404142892,0.06070945780226371
0.03515642788650939,0.034132471024827145,0.027434166806545215,0.03589304645416555,0.028739495675947326,0.05932816472444675,0.03615527283387588,0.06038676625455634
0.035414852130229144,0.03386426211500857,0.02791159908062993,0.03561447599864627,0.029848406529239632,0.059261401390352644,0.03677132787465276,0.06005839560447794
0.035670888193849955,0.03359445989239678,0.028383052440544197,0.035332238978207794,0.030929612751097853,0.059158503140207874,0.037384477317838116,0.05972433503776024
0.03592454747048719,0.0333230684217512,0.02884855538689421,0.03504644628022087,0.03196523418488148,0.05901983550063539,0.037994889528813816,0.059384576277497894
0.0361758061860001,0.03305012930069952,0.029308137480021056,0.03475720638436133,0.032974890770696284,0.05885234123115367,0.03860270201229909,0.05903911467335951
0.036424648421709796,0.032775676764253615,0.02976182928142959,0.034464625392238366,0.033959830604959176,0.05865857986901041,0.0392080206989244,0.058687950261133784
0.036671066153455785,0.032499737032303355,0.030209662296690233,0.03416880705739833,0.03492120589206342,0.058440785373987614,0.03981091960629039,0.0583310887806721
0.03691505166361268,0.03222233636272836,0.030651668919818277,0.0338698528156714,0.035860061965844015,0.05820092363643518,0.040411440882711834,0.05796854263964972
0.037156598045451524,0.031943500460794035,0.031087882379134735,0.03356786181582634,0.03677735321424736,0.057940734416697975,0.0410095952337618,0.05760033181019704
0.037395695930023794,0.03166325829584192,0.0315183366846063,0.033262930950499967,0.03767395433305117,0.05766176925822483,0.041605362723555354,0.05722648464542518
0.03763233782116504,0.03138163714839797,0.031943066576660656,0.03295515488736646,0.03855067027288351,0.057365414116116134,0.04219869393472278,0.05684703860323466
0.037866518520287905,0.031098661951162676,0.0323621074764697,0.0326446261005129,0.03940824224392303,0.05705291185286433,0.04278951146348244,0.05646204086558829
0.0380982318728949,0.030814359122966282,0.032775495437690295,0.0323314349019876,0.040247354044783634,0.05672538522943872,0.04337771171937928,0.056071548842663826
0.03832746392859402,0.030528765268224074,0.03318326709965009,0.03201566947348769,0.04106862559672641,0.056383862110223365,0.043963166993330166,0.055675630552961944
0.03855421166358646,0.0302419040901755,0.033585459641964,0.03169741589815406,0.041872638053982066,0.05602926623312308,0.04454572775279038,0.05527436487249768
0.03877846881893784,0.02995380369934119,0.03398211074056449,0.03137675819244126,0.04265994173078011,0.05566244364848348,0.04512522511925833,0.05486784164858151
0.03900023018900547,0.029664491318824048,0.03437325852512678,0.031053778338032356,0.043431037776699065,0.05528417016382202,0.04570147348105416,0.05445616167632299
0.039219484952227886,0.029374002112105366,0.03475894153786976,0.030728556313767794,0.04418638801608391,0.05489516732755463,0.0462742731933687,0.054039436538758534
0.03943623818740841,0.029082350620711375,0.035139198693710315,0.030401170127560204,0.044926456772165745,0.0544960772244896,0.046843413317950805,0.05361778831431849
0.039650472997435585,0.028789581293927002,0.03551406924174877,0.03007169584826641,0.04565162942088166,0.05408752827745378,0.04740867435641595,0.053191349158083434
