metodo,error_global_mm,error_ifp_mm,error_ifd_mm,fitness,tiempo_s,nfev
Evolucion Diferencial,2.1736,2.8156,1.5317,0.002335,70.8,135970.0
Algoritmo Genetico,2.5543,3.6813,1.4273,0.00272,53.8,15052.0
